ProviderID,ProviderName,ProviderType,ProviderPrimaryInspectionCategory,ProviderStreetAddress,ProviderAddressLine2,ProviderCity,ProviderPostCode,ProviderLocalAuthority,ProviderRegion,Service/PopulationGroup,Domain,LatestRating,PublicationDate,ReportType,InheritedRating(Y/N),URL,BrandID,BrandName
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health inpatient services,Overall,Inadequate,17/05/2017,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health inpatient services,Responsive,Good,17/05/2017,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health inpatient services,Safe,Inadequate,17/05/2017,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health inpatient services,Well-led,Inadequate,17/05/2017,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health services for adults,Caring,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health services for adults,Effective,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health services for adults,Overall,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health services for adults,Responsive,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health services for adults,Safe,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health services for adults,Well-led,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,"Community health services for children, young people and families",Caring,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,"Community health services for children, young people and families",Effective,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,"Community health services for children, young people and families",Overall,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,"Community health services for children, young people and families",Responsive,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,"Community health services for children, young people and families",Safe,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,"Community health services for children, young people and families",Well-led,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health sexual health services,Caring,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health sexual health services,Effective,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health sexual health services,Overall,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health sexual health services,Responsive,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health sexual health services,Safe,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Community health sexual health services,Well-led,Good,24/02/2020,CoreService,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Overall,Caring,Good,24/02/2020,Provider,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Overall,Effective,Good,24/02/2020,Provider,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Overall,Overall,Good,24/02/2020,Provider,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Overall,Responsive,Good,24/02/2020,Provider,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Overall,Safe,Good,24/02/2020,Provider,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-256729774,Locala Community Partnerships C.I.C.,Independent Healthcare Org,Community health - NHS & Independent,Beckside Court (1st Floor),286 Bradford Road,Batley,WF17 5PW,Kirklees,Yorkshire and The Humber,Overall,Well-led,Good,24/02/2020,Provider,N,http://www.cqc.org.uk/provider/1-256729774,BD329,BRAND Locala
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health inpatient services,Caring,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health inpatient services,Effective,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health inpatient services,Overall,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health inpatient services,Responsive,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health inpatient services,Safe,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health inpatient services,Well-led,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health services for adults,Caring,Outstanding,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health services for adults,Effective,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health services for adults,Overall,Outstanding,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health services for adults,Responsive,Outstanding,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health services for adults,Safe,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community health services for adults,Well-led,Outstanding,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community mental health services for people with a learning disability or autism,Caring,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community mental health services for people with a learning disability or autism,Effective,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community mental health services for people with a learning disability or autism,Overall,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community mental health services for people with a learning disability or autism,Responsive,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community mental health services for people with a learning disability or autism,Safe,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Community mental health services for people with a learning disability or autism,Well-led,Good,09/10/2017,CoreService,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Overall,Caring,Good,09/10/2017,Provider,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Overall,Effective,Good,09/10/2017,Provider,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Overall,Overall,Good,09/10/2017,Provider,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Overall,Responsive,Good,09/10/2017,Provider,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Overall,Safe,Good,09/10/2017,Provider,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-2642739822,Wiltshire Health and Care LLP,Independent Healthcare Org,Community health - NHS & Independent,Chippenham Community Hospital,Rowden Hill,Chippenham,SN15 2AJ,Wiltshire,South West,Overall,Well-led,Requires improvement,09/10/2017,Provider,N,http://www.cqc.org.uk/provider/1-2642739822,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Acute wards for adults of working age and psychiatric intensive care units,Caring,Outstanding,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Acute wards for adults of working age and psychiatric intensive care units,Effective,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Acute wards for adults of working age and psychiatric intensive care units,Overall,Outstanding,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Acute wards for adults of working age and psychiatric intensive care units,Responsive,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Acute wards for adults of working age and psychiatric intensive care units,Safe,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Acute wards for adults of working age and psychiatric intensive care units,Well-led,Outstanding,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Child and adolescent mental health wards,Caring,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Child and adolescent mental health wards,Effective,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Child and adolescent mental health wards,Overall,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Child and adolescent mental health wards,Responsive,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Child and adolescent mental health wards,Safe,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Child and adolescent mental health wards,Well-led,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community end of life care,Caring,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community end of life care,Effective,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community end of life care,Overall,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community end of life care,Responsive,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community end of life care,Safe,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community end of life care,Well-led,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health inpatient services,Caring,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health inpatient services,Effective,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health inpatient services,Overall,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health inpatient services,Responsive,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health inpatient services,Safe,Requires improvement,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health inpatient services,Well-led,Good,03/01/2020,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health services for adults,Caring,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health services for adults,Effective,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health services for adults,Overall,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health services for adults,Responsive,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health services for adults,Safe,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community health services for adults,Well-led,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,"Community health services for children, young people and families",Caring,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,"Community health services for children, young people and families",Effective,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,"Community health services for children, young people and families",Overall,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,"Community health services for children, young people and families",Responsive,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,"Community health services for children, young people and families",Safe,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,"Community health services for children, young people and families",Well-led,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community mental health services for people with a learning disability or autism,Caring,Outstanding,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
1-271962340,Livewell Southwest CIC,Independent Healthcare Org,Mental health - community & hospital - independent,1st Floor Windsor House,"Tavistock Road, Derriford",Plymouth,PL6 5UF,Plymouth,South West,Community mental health services for people with a learning disability or autism,Effective,Good,19/10/2016,CoreService,N,http://www.cqc.org.uk/provider/1-271962340,-,-
